web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,08/04/2023,15/04/2023,199,199,MOBILHOME 6 personnes - LOISIR,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,209,209,CHALET 6 personnes - LOISIR,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"222,40","178,40",MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"225,80","180,80",CHALET 4 personnes - Cocoon 4 personnes 2 chambres 24m²,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"225,80","180,80",CHALET 4 personnes - Chalet bois Cocoon 4 personnes 2 chambres 24m²,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"243,20","195,20",CHALET 5 personnes - Evasion 5 personnes 2 chambres 26m²,Camping La Maïre,5 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"243,20","195,20",CHALET 5 personnes - Chalet bois Evasion 5 personnes 2 chambres 26m²,Camping La Maïre,5 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"257,40","206,40",MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"257,40","206,40",MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,265,212,CHALET 6 personnes - Loisir 6 personnes 3 chambres 30m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,265,212,CHALET 6 personnes - Loisir 6 personnes 3 chambres 30m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"266,60","213,60",CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"266,60","213,60",MOBILHOME 6 personnes - Loisir 6 personnes 3 chambres 30m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"266,60","213,60",CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"266,60","213,60",MOBILHOME 6 personnes - Loisir+ 6 personnes 3 chambres 32m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"266,60","213,60",MOBILHOME 6 personnes - Loisir+ 6 personnes 3 chambres 32m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"266,60","213,60",MOBILHOME 6 personnes - Loisir 6 personnes 3 chambres 30m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"292,40","234,40",CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"292,40","234,40",CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"295,80","236,80",CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"198,10","179,10",CHALET 6 personnes - 2 Chambres,Camping Eden,6 Adultes,Port Camargue ,,14,camping-eden-77586,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"238,10","215,10",MOBILHOME 6 personnes - 2 Chambres (Clim ),Camping Eden,6 Adultes,Port Camargue ,,14,camping-eden-77586,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,259,259,MOBILHOME 6 personnes - 2/3 Chambres (Clim),Camping Eden,6 Adultes,Port Camargue ,,14,camping-eden-77586,Languedoc-roussillon
